   ,FUND_ID,FUND_NAME,PARENT_COMPANY_ID,PARENT_COMPANY_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,ACTUARIAL_ADJUSTMENT,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
1,1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201512,31/12/2015,,,,,0.02,0.24,1.99,,,0.23,,,,,,,,,,,,512065202,06/08/2018
2,1589,איילון מיטב פנסיה מקיפה פאסיבי- מדדי מניות,163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201512,31/12/2015,,,,,0.02,0.24,1.99,,,0.23,,,,,,,,,,,,512065202,06/08/2018
3,1693,פסגות פנסיה מקיפה לבני 60 ומעלה,1531,פסגות פנסיה מקיפה,קרנות חדשות,"פסגות בית השקעות בע""מ","פסגות קופות גמל ופנסיה בע""מ",201512,28/12/2015,,,,,9.1,0.28,4.32,0.01,2.44,0.3,12.19,,3.91,,,,,,,,,513765347,06/08/2018
4,1709,פסגות קרן פנסיה כללית מסלול הלכה,1532,פסגות קרן פנסיה כללית,קרנות כלליות,"פסגות בית השקעות בע""מ","פסגות קופות גמל ופנסיה בע""מ",201512,28/12/2015,,,,,0.13,0.8,,-0.19,0.83,0,,,,,,,,,,,,513765347,06/08/2018
5,2002,ספיר,170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201501,05/10/2011,,,,,31741.63,0.26,3.22,0.37,0.37,,30.55,45.23,9.29,7.75,4.36,3,1.46,,,,,512244146,06/08/2018
6,2002,ספיר,170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201502,05/10/2011,,,,,32937.83,0.26,3.22,2.99,3.37,,33.45,47.89,10.1,8.14,4.5,3,1.58,,,,,512244146,06/08/2018
7,2002,ספיר,170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201503,05/10/2011,,,,,33398.68,0.26,3.22,0.84,4.24,-0.16,33.42,45.99,10.09,7.86,4.43,3,1.59,,,,,512244146,06/08/2018
8,2002,ספיר,170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201504,05/10/2011,,,,,33812.91,0.26,3.22,0.61,4.88,,32.68,47.34,9.88,8.06,4.4,2.88,1.64,,,,,512244146,06/08/2018
9,2002,ספיר,170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201505,05/10/2011,,,,,34336,0.26,3.22,0.93,5.85,,37.13,51.6,11.1,8.68,4.26,3,1.78,,,,,512244146,06/08/2018
10,2002,ספיר,170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201506,05/10/2011,,,,,34052.09,0.26,3.22,-1.97,3.77,-0.17,34.83,48.23,10.47,8.19,4.43,3.12,1.49,,,,,512244146,06/08/2018
11,2002,ספיר,170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201507,05/10/2011,,,,,34842.46,0.26,3.22,1.56,5.38,,34.45,47.14,10.37,8.03,4.36,3.12,1.54,,,,,512244146,06/08/2018
12,2002,ספיר,170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201508,05/10/2011,,,,,34498.78,0.26,3.22,-1.78,3.51,,30.71,43.41,9.34,7.48,4.5,3.12,1.3,,,,,512244146,06/08/2018
13,2002,ספיר,170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201509,05/10/2011,,,,,34167.96,0.26,3.22,-1.78,1.67,-0.07,25.68,37.66,7.92,6.6,4.57,3.12,1.05,,,,,512244146,06/08/2018
14,2002,ספיר,170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201510,05/10/2011,,,,,35277.03,0.26,3.22,2.49,4.2,,26.71,37.69,8.21,6.61,4.57,3.24,1.15,,,,,512244146,06/08/2018
15,2002,ספיר,170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201511,05/10/2011,,,,,35654.98,0.26,3.22,0.36,4.57,,25.73,38.71,7.93,6.76,4.54,3.48,1.17,,,,,512244146,06/08/2018
16,2002,ספיר,170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201512,05/10/2011,,,,,35605.22,0.26,3.22,-0.98,3.55,0.02,23.59,35.19,7.32,6.22,4.57,3.36,1.04,,,,,512244146,06/08/2018
17,2004,חושן (כהלכה),170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201501,05/10/2011,,,,,160.68,0.26,3.22,0.24,0.24,,24.87,,7.68,,,,,,,,,512244146,06/08/2018
18,2004,חושן (כהלכה),170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201502,05/10/2011,,,,,167.86,0.26,3.22,3.15,3.4,,27.84,,8.53,,,,,,,,,512244146,06/08/2018
19,2004,חושן (כהלכה),170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201503,05/10/2011,,,,,173.12,0.26,3.22,0.58,4,-0.16,27.78,,8.51,,,,,,,,,512244146,06/08/2018
20,2004,חושן (כהלכה),170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201504,05/10/2011,,,,,175.3,0.26,3.22,0.65,4.67,,27.06,,8.31,,,,,,,,,512244146,06/08/2018
21,2004,חושן (כהלכה),170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201505,05/10/2011,,,,,177.9,0.26,3.22,0.82,5.53,,30.28,,9.22,,,,,,,,,512244146,06/08/2018
22,2004,חושן (כהלכה),170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201506,05/10/2011,,,,,177.38,0.26,3.22,-2.09,3.33,-0.17,27.6,,8.46,,,,,,,,,512244146,06/08/2018
23,2004,חושן (כהלכה),170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201507,05/10/2011,,,,,182.57,0.26,3.22,1.14,4.5,,25.91,,7.98,,,,,,,,,512244146,06/08/2018
24,2004,חושן (כהלכה),170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201508,05/10/2011,,,,,183.71,0.26,3.22,-2.13,2.28,,22.51,,7,,,,,,,,,512244146,06/08/2018
25,2004,חושן (כהלכה),170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201509,05/10/2011,,,,,181.52,0.26,3.22,-1.93,0.3,-0.07,17.92,,5.65,,,,,,,,,512244146,06/08/2018
26,2004,חושן (כהלכה),170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201510,05/10/2011,,,,,190.82,0.26,3.22,2.66,2.97,,19.9,31.38,6.24,5.61,4.23,1.92,0.94,,,,,512244146,06/08/2018
27,2004,חושן (כהלכה),170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201511,05/10/2011,,,,,193.98,0.26,3.22,0.19,3.17,,19.51,31.59,6.12,5.64,4.23,1.92,0.95,,,,,512244146,06/08/2018
28,2004,חושן (כהלכה),170,כלל פנסיה,קרנות חדשות,אחר,"כלל פנסיה וגמל בע""מ",201512,05/10/2011,,,,,197.29,0.26,3.22,-1.12,2.01,0.02,18.14,29.26,5.71,5.27,4.26,1.92,0.82,,,,,512244146,06/08/2018
29,2009,מנורה מבטחים פנסיה - כללי ,168,מנורה מבטחים פנסיה,קרנות חדשות,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201501,13/11/2011,,,,,57510.38,0.25,3.04,0.41,0.41,,29.39,43.39,8.97,7.47,4.09,2.64,1.49,,,,,512245812,06/08/2018
30,2009,מנורה מבטחים פנסיה - כללי ,168,מנורה מבטחים פנסיה,קרנות חדשות,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201502,13/11/2011,,,,,59400.21,0.25,3.04,2.71,3.13,,31.69,45.68,9.61,7.82,4.19,2.64,1.6,,,,,512245812,06/08/2018
31,2009,מנורה מבטחים פנסיה - כללי ,168,מנורה מבטחים פנסיה,קרנות חדשות,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201503,13/11/2011,,,,,60000.8,0.25,3.04,0.52,3.67,-0.14,31,44.19,9.42,7.59,4.16,2.64,1.59,,,,,512245812,06/08/2018
32,2009,מנורה מבטחים פנסיה - כללי ,168,מנורה מבטחים פנסיה,קרנות חדשות,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201504,13/11/2011,,,,,60815.43,0.25,3.04,0.61,4.3,,30.74,45.7,9.35,7.82,4.16,2.64,1.65,,,,,512245812,06/08/2018
33,2009,מנורה מבטחים פנסיה - כללי ,168,מנורה מבטחים פנסיה,קרנות חדשות,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201505,13/11/2011,,,,,61667.36,0.25,3.04,0.85,5.19,,34.62,48.8,10.42,8.27,4.05,2.64,1.76,,,,,512245812,06/08/2018
34,2009,מנורה מבטחים פנסיה - כללי ,168,מנורה מבטחים פנסיה,קרנות חדשות,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201506,13/11/2011,,,,,60952.49,0.25,3.04,-1.67,3.43,-0.12,31.81,46.04,9.64,7.87,4.19,2.76,1.51,,,,,512245812,06/08/2018
35,2009,מנורה מבטחים פנסיה - כללי ,168,מנורה מבטחים פנסיה,קרנות חדשות,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201507,13/11/2011,,,,,62383.18,0.25,3.04,1.58,5.06,,31.92,45.38,9.67,7.77,4.16,2.88,1.57,,,,,512245812,06/08/2018
36,2009,מנורה מבטחים פנסיה - כללי ,168,מנורה מבטחים פנסיה,קרנות חדשות,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201508,13/11/2011,,,,,61809.66,0.25,3.04,-1.43,3.56,,28.98,42.44,8.85,7.33,4.26,2.88,1.36,,,,,512245812,06/08/2018
37,2009,מנורה מבטחים פנסיה - כללי ,168,מנורה מבטחים פנסיה,קרנות חדשות,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201509,13/11/2011,,,,,61409.86,0.25,3.04,-1.63,1.87,-0.15,24.32,37.41,7.53,6.56,4.33,3,1.12,,,,,512245812,06/08/2018
