FUND_ID,FUND_NAME,PARENT_COMPANY_ID,PARENT_COMPANY_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,ACTUARIAL_ADJUSTMENT,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201701,31/12/2015,0.01,0,0,0.01,0.46,0.27,2.64,0.06,0.06,,,,,,,,,97.1,0.06,0.08,0.05,512065202,06/08/2018
1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201702,31/12/2015,0.01,0,0,0.01,0.47,0.27,2.64,0.29,0.35,,,,,,,,,97.2,0.07,0.08,0.05,512065202,06/08/2018
1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201703,31/12/2015,0.01,0.02,0.52,0.51,0.98,0.27,2.64,-0.05,0.3,-0.04,,,,,,,,98.6,0.15,0.19,0.11,512065202,06/08/2018
1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201704,31/12/2015,0.01,0,0,0.01,1,0.27,2.64,0.94,1.24,,,,,,,,,97,0.15,0.19,0.12,512065202,06/08/2018
1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201705,31/12/2015,0.02,0,0,0.02,1.03,0.27,2.64,0.78,2.03,,,,,,,,,97.1,0.15,0.19,0.12,512065202,06/08/2018
1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201706,31/12/2015,0.01,0,0.01,0.02,1.05,0.27,2.64,-0.16,1.87,0.15,,,,,,,,97,0.15,0.2,0.12,512065202,06/08/2018
1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201707,31/12/2015,0.01,0,-0.17,-0.16,0.89,0.27,2.64,0.61,2.49,,,,,,,,,96.6,0.14,0.17,0.13,512065202,06/08/2018
1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201708,31/12/2015,0.02,0,0.08,0.1,1,0.27,2.64,0.42,2.92,,,,,,,,,97.4,0.15,0.18,0.13,512065202,06/08/2018
1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201709,31/12/2015,0.01,0,0.03,0.04,1.04,0.27,2.64,0.21,3.14,0.42,,,,,,,,97.2,0.15,0.18,0.13,512065202,06/08/2018
1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201710,31/12/2015,0.01,0,0,0.01,1.06,0.27,2.64,0.73,3.89,,,,,,,,,97.2,0.16,0.19,0.13,512065202,06/08/2018
