FUND_NAME,REPORT_PERIOD,AVG_ANNUAL_MANAGEMENT_FEE,MONTHLY_YIELD,TOTAL_ASSETS,FUND_CLASSIFICATION
הראל פנסיה - שיקלי טווח קצר,201901,0.219999999,1.63,788.3,קרנות חדשות
הפניקס פנסיה מקיפה - הפניקס מסלול שקלי טווח קצר,201901,0.239999995,1.67,0.6,קרנות חדשות
מגדל מקפת אישית שקלי טווח קצר,201901,0.230000004,1.67,4.6,קרנות חדשות
"מנורה מבטחים פנסיה - מסלול אג""ח",201901,0.189999998,3.21,744.8,קרנות חדשות
"הפניקס מסלול פאסיבי - מדדי אג""ח חו""ל",201901,0.239999995,3.79,1.5,קרנות חדשות
"איילון מיטב מקיפה - מסלול אג""ח (ללא מניות)",201901,0.180000007,3.89,5.4,קרנות חדשות
"כלל פנסיה אג""ח",201901,0.209999993,4.08,9.7,קרנות חדשות
"מגדל מקפת אישית אג""ח",201901,0.230000004,4.12,9,קרנות חדשות
"פסגות פנסיה מקיפה אג""ח עד 20% מניות",201901,0.230000004,4.29,0.5,קרנות חדשות
הלמן-אלדובי קרן פנסיה מקיפה מסלול בסיסי למקבלי קצבה קיימים (עד 1.1.18),201901,0.050000001,4.33,0.9,קרנות חדשות
"הראל פנסיה - אג""ח ללא מניות",201901,0.219999999,4.36,8.1,קרנות חדשות
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2020,201901,0.189999998,4.54,100.7,קרנות חדשות
"הפניקס פנסיה מקיפה - הפניקס מסלול אג""ח ",201901,0.239999995,4.59,5.3,קרנות חדשות
פסגות פנסיה מקיפה לבני 60 ומעלה,201901,0.230000004,4.64,64.1,קרנות חדשות
"מסלול אג""ח עד 15% מניות ",201901,0.209999993,4.85,-2.5,קרנות חדשות
"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",201901,0.180000007,4.88,0.7,קרנות חדשות
איילון מיטב מקיפה 60 ומעלה,201901,0.180000007,4.94,175,קרנות חדשות
"איילון מיטב מקיפה אג""ח עד 25% במנית",201901,0.180000007,4.96,1.8,קרנות חדשות
"פסגות פנסיה מקיפה חו""ל",201901,0.230000004,5,0.3,קרנות חדשות
הלמן-אלדובי קרן פנסיה מקיפה לבני 60 ומעלה,201901,0.050000001,5.07,127.7,קרנות חדשות
מגדל מקפת אישית לבני 60 ומעלה,201901,0.230000004,5.19,254.3,קרנות חדשות
הראל פנסיה- הלכה למקבלי קצבה קיימים,201901,0.219999999,5.26,2.8,קרנות חדשות
פסגות פנסיה - פנסיונרים,201901,0.230000004,5.3,4.9,קרנות חדשות
איילון מיטב מקיפה מסלול בסיסי למקבלי קצבה (למעט לפנסיונרים זכאים קיימים),201901,0.180000007,5.33,-9.4,קרנות חדשות
"הפניקס מסלול אג""ח עד 25% מניות",201901,0.239999995,5.36,5.2,קרנות חדשות
פסגות מקיפה - אפיק הלכה,201901,0.230000004,5.39,33.4,קרנות חדשות
הראל פנסיה - גילאי 60 ומעלה,201901,0.219999999,5.4,209.2,קרנות חדשות
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2025,201901,0.189999998,5.44,374.4,קרנות חדשות
